tic_id,true_label,predicted_label,decision,is_correct_class,is_planet_candidate,candidate_priority,planet_threshold,threshold_source,confidence,planet_probability,prob_eclipsing_binary,prob_false_positive,prob_planet,period_days,duration_hours,depth_percent,snr,bls_power,n_points_used,n_in_transit_points,n_detected_transits,odd_even_depth_difference,secondary_eclipse_depth,v_shape_score,baseline_days
388104525,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.899240324218489,0.899240324218489,0.040375239886132355,0.06038443589537904,0.899240324218489,2.499666972963846,2.52,1.027372809525784,115.62766557790223,0.0422849177829614,18276,808,11,0.0002468383911571,0.0001143021681111,0.0026004392217625,27.880901009959643
360742636,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8944233048975216,0.8944233048975216,0.04714896334360491,0.0584277317588736,0.8944233048975216,2.549272914474925,1.872,1.1700208216039787,124.9932128523393,0.0442580988985568,19102,654,12,0.0004528215652076,0.000244833381179,0.0014344821857198,28.43631365246074
120247528,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8794369020651679,0.8794369020651679,0.02584493909281424,0.09471815884201824,0.8794369020651679,3.554090086802779,1.296,0.7562391986932093,52.08978063884324,0.0085219940489476,19438,305,8,0.0002879798471365,-7.95952884221629e-05,0.0027597612158756,28.435918617089783
355703913,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.867225549982271,0.867225549982271,0.04843172858318924,0.0843427214345395,0.867225549982271,2.105515491122146,0.72,1.0003233000783318,21.8164125310975,0.011187878386113,18274,232,13,0.0002640051844708,0.0010683450044732,0.0030249491478876,27.88072663564003
201604954,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8504137975262703,0.8504137975262703,0.08276578523463536,0.06682041723909472,0.8504137975262703,0.6339603782526338,7.199999999999999,0.7676793286468531,99.00898571150616,0.2899652712347162,19378,9007,45,0.0002666595232422,-0.0076746056296973,0.00063837403773,28.43606058231489
201642601,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8435569938957804,0.8435569938957804,0.053433881662850694,0.10300912444136896,0.8435569938957804,3.1314160094840053,1.872,1.09730105814001,33.44788448065909,0.0281363004040029,19439,495,9,0.0005248004799489,-0.0003241634231474,0.0025455423478935,28.43612129337066
231663901,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8414131051274666,0.8414131051274666,0.08323352457784931,0.07535337029468474,0.8414131051274666,1.430321492922072,1.296,1.515045471828358,97.1461180639773,0.0719816233700096,18276,668,19,0.0003169148940334,0.0003925593174149,0.0057878377497355,27.88002124610125
336732616,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8405355316549868,0.8405355316549868,0.05244728274101121,0.1070171856040028,0.8405355316549868,3.547766562441653,3.096,0.6790885981354355,74.86454547603383,0.0154106324527344,18182,691,8,0.0003566595398981,0.0004039506642459,0.0012103801063421,27.742664142731428
369960846,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8197948232584081,0.8197948232584081,0.08160148509963236,0.09860369164195991,0.8197948232584081,1.6064277338391493,1.872,1.1937205021871675,41.76367208223908,0.0647771191354678,19436,917,18,0.0009422273477344,0.0002884964507112,0.0060007134436905,28.43580171747999
92352620,planet,planet,Strong planet candidate,True,True,high,0.2,optimized,0.8144897224837505,0.8144897224837505,0.0655979262119126,0.11991235130433736,0.8144897224837505,3.9501976041071134,4.247999999999999,0.6881515464096877,78.7451943615106,0.0028494200774968,17523,151,7,5.98846542740894e-05,0.000135124812534,,27.743993984281587
